experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run3-tbt-5s,1,continentale,5,none,true,12,31,1,360,371,360,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.064226,0.088686,0.09406,0.081161,1,0.0,9948,7531,9948.0,7531.0,12,7.1005,5.935,7.5,0.9201,0,0,0,3,4,0
run3-tbt-5s,1,continentale,5,none,true,12,31,1,360,371,360,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,4,2.943383,0.245282,0.242195,0.249604,1,0.333333,25615,23161,25615.0,23161.0,12,6.4448,3.218,7.516,0.789,3,0,1,3,4,0
run3-tbt-5s,1,continentale,5,none,true,12,31,1,360,371,360,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,8,7.992391,0.666033,0.663745,0.669235,1,0.666667,70199,62099,70199.0,62099.0,12,5.296,2.767,7.482,0.5592,9,1,0,3,4,0
run3-tbt-5s,1,continentale,5,none,true,12,32,1,372,383,372,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,0.963554,0.080296,0.081161,0.079085,1,0.0,7531,8243,7531.0,8243.0,12,6.532,2.559,7.446,0.8064,1,1,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,32,1,372,383,372,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,2.984263,0.248689,0.249604,0.247407,1,0.25,23161,25787,23161.0,25787.0,12,5.8767,3.24,7.433,0.6753,5,2,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,32,1,372,383,372,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,9,8.052183,0.671015,0.669235,0.673507,1,0.75,62099,70199,62099.0,70199.0,12,4.874,3.089,7.282,0.4748,6,0,3,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,33,1,384,395,384,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,2,1.099682,0.09164,0.079085,0.109217,1,0.166667,8243,9948,8243.0,9948.0,12,6.9528,2.826,7.465,0.8906,1,0,1,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,33,1,384,395,384,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,0,2.859094,0.238258,0.247407,0.225449,1,0.0,25787,20535,25787.0,20535.0,12,6.9936,6.043,7.398,0.8987,0,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,33,1,384,395,384,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,8.041225,0.670102,0.673507,0.665335,1,0.833333,70199,60602,70199.0,60602.0,12,4.8767,2.737,7.048,0.4753,11,1,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,34,1,396,407,396,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.194032,0.099503,0.109217,0.085903,1,0.0,9948,8243,9948.0,8243.0,12,7.4378,7.383,7.517,0.9876,0,0,0,2,2,0
