height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
586,007be58c6762a571b78c552d6a875fbcfbb98b6acc95764aa3463d7814a06c0b,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691017,4,12,6,0
587,003a077d7a1a5d9b3dfa39462b0ddb3042a750d26eecbd963c14ff16f126a211,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691022,3,11,6,0
588,00560c0fe7d9f8994c9e52dc160e4f70b505aa065207bd18e45cba106097cd6f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691034,6,10,6,0
589,00aa3b873fa0a0eb7bdf2850fa0b7bca38e04fbf01b796e6100f409e4483a65d,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946691043,4,9,6,0
590,0095df06962e798c5d729a2158a6f7c162de204808375612234a18b972bc7e7d,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691057,5,8,6,0
591,00568c0bf0f70b5f746afacaa4ed8e11c8dec062bdd09bad4ffcb8888e7f6594,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946691070,7,7,6,0
592,00f60f876e307e32b2b096314ae26e73572be83b069bc241ff0efbbed998bd41,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691084,6,6,6,0
593,00fa8434933ae8340a7de7e78ea9d6a3b23969c36610d5ba05744e651ad72b7a,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691089,2,5,6,0
594,0099a9f73f44cf6cce320abc6477f3fac771b34976e20ce2e8cc65015f6ef85e,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691098,5,4,6,0
595,008703a40c0c1bf5a7a0232e8d7780502d776e74c32f1ee914c43010ced381c0,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946691110,5,3,6,0
596,00c58d487c39f30c0121c44fd574e07767ca3bb7314bb1231f735cb093bda073,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946691123,6,2,6,0
597,0025be53dda5732fcd2e2999fdeb717e291c957c43ab096fb3a5003babf39f97,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946691132,4,1,6,0
