height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
13,00ded4bdbecbaaa33fbf704b88fb41bb9f114b65b1bcfced271bb14689002614,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946684990,1,161,2,1
14,0049ef0820d1bfa3548e7631cd00d30180ca4fa8ff9c07dc15f913e2ddbe872f,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684994,1,160,2,1
15,000af893fcf13ed352620d33cbe98f9f503dd545cd7c9cd8c14ba7460c8b8444,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685010,1,159,2,1
16,00395673536cfa4475490dff0d11a8563759a8079ceea8103234f01b6a34b2d6,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685023,1,158,2,1
17,00670bf218f22a49a577b1f5740edbd35bc0e699627f0742031d3df5185ae366,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685042,1,157,2,1
18,00780ec6ef2fbc867fe20ff0db5fb9370e36ccea3392e3e46351001d1c799389,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685066,17,156,2,1
19,00724101ae3cfb71d53359d4241416df31e01e5f4a4a6a2e45a0a88c8b00c803,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685084,4,155,2,1
20,0065251336d003d3e1143ec92851d82d45c431394ca1ede58a04f01132fe12fc,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685095,1,154,2,1
21,005777cd5bbf4f42b667f0e3c9008f424087899aa348d4097338b41fe6e5ad6b,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685115,1,153,2,1
22,00f8744fbc2920530deeefb7b4c61f4c903951ededc2a79cd0d45b60d8bdcf89,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685120,1,152,2,1
23,009cc1b95d8d430d34377fe74637c047dab9549c39476119ac7f58e69b5b36d7,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685140,9,151,2,1
24,002b0de746a8bfbf0199d540e50664df8d9f49d8bcec6ca1204c1e7ff7a6fa00,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685154,4,150,3,1
25,00e14815158c9690d8c2ba7f4a4c9f91d7221dd68ffa26a42eea7c73241f2391,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685167,10,149,3,1
26,0064742832edccfe012b3dbae85ac50226fa6c36b819e008436677c8ba77062c,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685186,8,148,3,1
27,00040c10601daba0a6af0f746fe3631af3be0c0ef102fa2dea2f047585d568b6,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685195,5,147,3,1
28,00ad86b6e06380195adcad7757ea784cf12f88a9fdc94dc23a44fcf1040fe63c,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685211,6,146,3,1
29,00900a0afa9658c989fd1749020b89eccf40a976fa20125c2dcb823277c050e9,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685230,9,145,3,1
30,00f68726c093f749b0cea585fd61aa3cf756d9f4238a2fa1ac21c0c54dedf84b,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685240,9,144,3,1
31,00ba87cdf7db94e96c6359af458f92600eb218674e09f5fdfc7014b98f3246bc,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685260,5,143,3,1
32,00c9a298a4f17ee9dc805b8d38afd526ec8192a74c04e069cc81356ea3d0508e,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946685272,7,142,3,1
33,003df41dbc09ba427e71473d4f63bd5f26d717607f83ff684e81e8010bb0cf5e,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685284,7,141,3,1
34,008950c8cd7c4a984c6bc433cacebea3fa8d98b560f57125e59abe28f78a1d7a,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946685299,4,140,3,1
35,0058a14c479c529aa8db63b6f466e6763adbf6c8cb4bf3198923b5131ef09831,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946685318,9,139,3,1
36,00d7b9148179a6ca8fb8048c150b9b4f04941d22d4ebb068692734f28140830c,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685330,4,138,4,1
37,00be626279d1ce6f1756b586a3ebc5cb4e837ce339898c5d9f1ca8ac882fa555,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685344,10,137,4,1
38,00914f806a6d368d25768c9a41e696511540c01e6a3f83d306942ab01d5b94d8,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685358,7,136,4,1
39,005790a2dde1f15406e289aad502124fc011cfd5e1599c6b534f3ec340324079,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946685374,7,135,4,1
40,00383cdaad9c3854fe31a5b2be808894366deb1969971085a007ca424bb230ac,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685386,5,134,4,1
41,00c89c19c41a57b707f54ae8337094ddfb6b30074ad9cf58e55c6d9c81bd8969,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685405,9,133,4,1
42,00af6c3b82682fb73ecaa08b687e730165016cbbef8a4283f1fb6f8ee2759745,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685423,10,132,4,1
43,008f061dd0154b420e735788e8bee96f3b691f2d3029cd4d8727e6de737043af,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946685443,8,131,4,1
44,00dc847861e42461db19774a4d2d9753a6de1b5f82a68b6b96327066d3c1c3af,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685455,5,130,4,1
45,00e196159f5c7ef03921a384be9bc0c28599ab2441e08cae30c4b2084eca2a19,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685465,5,129,4,1
46,0037891166e0db20cd362caa96d80ec5b45a949c8f545c6f3095a32d085d1b8e,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685478,6,128,4,1
47,0059730b4c3d56577406a4fa2532fb8411138f4ddb08d3b9f52538f5f97c97fe,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685492,6,127,4,1
48,00476bda21857dcebe32420a237a494d9767a96880ae383de00146cf711b73b1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946685511,7,126,5,1
49,00afa514cbdb886f47f52ea762db7e0fc4aac23c1e99fca24882a8f6468a49c1,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685521,8,125,5,1
50,004b171c8d6b1da00967d118b406cdf20fc180d5040bf60dd9dbd4fded0b3cb8,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946685543,11,124,5,1
