height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
443,0082029b0d0e4c669aaa7a0244751bdf7a0f312e837e0ce1bec0220fa4b7b2ff,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689452,5,160,5,0
444,00ad92a8ecb8a17439fd7ed9c9c82f9b685cae295990aa30dc4f14618bbe84dc,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689466,7,159,5,0
445,00b80477b22fd2ed5aa1aab12ec3785a4879d1f519ce089e5eb54e72db69ea31,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689475,3,158,5,0
446,00c593ee16e2f3261753d57e5c51bb117e2943e854a7e5c96060c13f4774c2e9,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689481,4,157,5,0
447,00520e62ae3df195bb3241d0896292d3f65b1b6c54537835c3dd06228247c499,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689488,3,156,5,0
448,004ef9884f618e62d4a52aa73f2e18652d090c631ef5194d90a2252733f57916,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689495,4,155,5,0
449,00ca9efc3bc7536c1c150ed797a332b7011c372879aa39c81e6c5f17a152cb6d,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689502,4,154,5,0
450,002855eef93fe8868bc630410ac0be9f4805da012e5242d50bcc68233d581e18,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689512,4,153,5,0
451,007ffa41808806faec7fb1f42fb8eb5bbf0d5b1537745a458d0c5d6cc9f86f15,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,m3,946689526,6,152,5,0
452,00328e290bf82fbbd608376d7b5d5e27eea207a775bb82c7e0f47ff0cad8f271,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689535,4,151,5,0
