sample_height,host,balance_gas
541,c5,96.3634
541,m1,7.1527
541,m2,9.231
541,m3,39.3888
541,ca,49.356
549,c1,88.8462
549,c2,92.4974
549,c3,94.35
549,c4,95.4128
549,c5,96.3074
549,m1,107.6707
549,m2,110.3938
549,m3,39.3126
549,ca,49.356
558,c1,88.6222
558,c2,92.385
558,c3,94.2378
558,c4,95.3568
558,c5,96.2516
558,m1,7.7511
558,m2,45.0441
558,m3,31.7289
558,ca,49.356
566,c1,88.3976
566,c2,92.2168
566,c3,94.1258
566,c4,95.245
566,c5,96.1398
566,m1,6.9825
566,m2,19.2173
566,m3,25.8503
566,ca,49.356
