tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
182,183,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:55,10,run/data/m2/debug.log,6149
182,183,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:09:55,10,run/data/m3/debug.log,5564
183,184,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:05,9,run/data/admin/debug.log,1694
183,184,m1,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:00,10,run/data/m1/debug.log,10164
183,184,m2,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:00,10,run/data/m2/debug.log,6743
183,184,m3,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:00,10,run/data/m3/debug.log,5736
184,185,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:07,2,run/data/admin/debug.log,1745
184,185,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:04,3,run/data/m1/debug.log,10586
184,185,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:04,3,run/data/m2/debug.log,6962
184,185,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:04,3,run/data/m3/debug.log,6780
185,186,admin,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:11,2,run/data/admin/debug.log,1767
185,186,m1,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:06,3,run/data/m1/debug.log,10682
185,186,m2,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:08,3,run/data/m2/debug.log,7024
185,186,m3,12,3.917,3.000,-0.917,1.500,2000-01-01 00:10:08,3,run/data/m3/debug.log,6839
186,187,admin,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:15,2,run/data/admin/debug.log,1783
186,187,m1,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:11,3,run/data/m1/debug.log,10853
186,187,m2,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:12,3,run/data/m2/debug.log,7044
186,187,m3,12,4.000,3.000,-1.000,1.500,2000-01-01 00:10:12,3,run/data/m3/debug.log,6859
187,188,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:17,2,run/data/admin/debug.log,1797
187,188,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:14,3,run/data/m1/debug.log,11051
187,188,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:15,3,run/data/m2/debug.log,7059
187,188,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:15,3,run/data/m3/debug.log,6874
188,189,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:20,2,run/data/admin/debug.log,1811
188,189,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:16,3,run/data/m1/debug.log,12277
188,189,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:17,3,run/data/m2/debug.log,7074
188,189,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:10:17,3,run/data/m3/debug.log,6889
189,190,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:23,5,run/data/admin/debug.log,1825
189,190,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:20,6,run/data/m1/debug.log,12546
189,190,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:21,6,run/data/m2/debug.log,7089
189,190,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:21,6,run/data/m3/debug.log,6904
190,191,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:10:28,5,run/data/admin/debug.log,1855
190,191,m1,12,3.667,3.000,-0.667,1.500,2000-01-01 00:10:23,6,run/data/m1/debug.log,12908
190,191,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:10:23,6,run/data/m2/debug.log,7155
190,191,m3,12,3.667,3.000,-0.667,1.500,2000-01-01 00:10:24,6,run/data/m3/debug.log,6935
191,192,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:32,5,run/data/admin/debug.log,1889
191,192,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:27,6,run/data/m1/debug.log,13274
191,192,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:27,6,run/data/m2/debug.log,7264
191,192,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:28,6,run/data/m3/debug.log,6966
192,193,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:37,5,run/data/admin/debug.log,1919
192,193,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:32,6,run/data/m1/debug.log,13486
192,193,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:32,6,run/data/m2/debug.log,7637
192,193,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:33,6,run/data/m3/debug.log,7000
193,194,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:39,2,run/data/admin/debug.log,1949
193,194,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:36,3,run/data/m1/debug.log,13650
193,194,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:36,3,run/data/m2/debug.log,8001
193,194,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:10:37,3,run/data/m3/debug.log,7031
194,195,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:41,2,run/data/admin/debug.log,1976
194,195,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:38,3,run/data/m1/debug.log,14105
194,195,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:39,3,run/data/m2/debug.log,8045
194,195,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:39,3,run/data/m3/debug.log,7046
195,196,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:45,5,run/data/admin/debug.log,1991
195,196,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:41,6,run/data/m1/debug.log,14243
195,196,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:42,6,run/data/m2/debug.log,8061
195,196,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:42,6,run/data/m3/debug.log,7062
196,197,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:50,5,run/data/admin/debug.log,2021
196,197,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:45,6,run/data/m1/debug.log,14503
196,197,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:45,6,run/data/m2/debug.log,8160
196,197,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:46,6,run/data/m3/debug.log,7093
197,198,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:52,2,run/data/admin/debug.log,2052
197,198,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:49,3,run/data/m1/debug.log,14608
197,198,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:49,3,run/data/m2/debug.log,8528
197,198,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:10:50,3,run/data/m3/debug.log,7124
198,199,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:55,2,run/data/admin/debug.log,2073
198,199,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:52,3,run/data/m1/debug.log,14758
198,199,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:53,3,run/data/m2/debug.log,8571
198,199,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:53,3,run/data/m3/debug.log,7143
199,200,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:58,2,run/data/admin/debug.log,2087
199,200,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:10:55,3,run/data/m1/debug.log,15593
