sample_height,host,balance_gas
144,c3,95.7008
144,c4,96.539
144,c5,97.1526
144,m1,110.4188
144,m2,48.8474
144,m3,40.182
144,ca,49.3572
147,c1,91.392
147,c2,94.193
147,c3,95.5888
147,c4,96.427
147,c5,97.0966
147,m1,7.9595
147,m2,20.8058
147,m3,32.5006
147,ca,49.3572
149,c1,91.1674
149,c2,94.0806
149,c3,95.4768
149,c4,96.371
149,c5,97.0408
149,m1,108.2351
149,m2,20.7
149,m3,32.5006
149,ca,49.3572
151,c1,90.9428
151,c2,93.912
151,c3,95.365
151,c4,96.259
151,c5,96.9848
151,m1,109.1197
151,m2,20.7
151,m3,32.5006
151,ca,49.3572
154,c1,90.7742
154,c2,93.7438
154,c3,95.253
154,c4,96.203
154,c5,96.9288
154,m1,109.7927
154,m2,20.9242
154,m3,32.5006
154,ca,49.3572
156,c1,90.5496
156,c2,93.6314
156,c3,95.197
156,c4,96.091
156,c5,96.8168
156,m1,7.3468
156,m2,9.3404
156,m3,26.3553
156,ca,49.3572
159,c1,90.3248
159,c2,93.463
159,c3,95.0852
159,c4,96.0352
159,c5,96.761
159,m1,108.4078
159,m2,109.3404
159,m3,26.3553
159,ca,49.3572
163,c1,90.1002
163,c2,93.3508
163,c3,94.9732
163,c4,95.9232
163,c5,96.7052
163,m1,109.3184
163,m2,109.2346
163,m3,26.2797
163,ca,49.3572
166,c1,89.876
166,c2,93.1826
166,c3,94.8612
166,c4,95.8672
166,c5,96.6492
166,m1,109.6544
166,m2,109.4028
166,m3,26.2797
166,ca,49.3572
169,c1,89.7074
169,c2,93.0706
169,c3,94.7492
169,c4,95.7556
169,c5,96.5932
169,m1,7.1263
169,m2,45.1401
169,m3,21.3788
169,ca,49.3572
172,c1,89.4826
172,c2,92.9022
172,c3,94.6374
172,c4,95.6998
172,c5,96.4812
172,m1,107.7783
172,m2,45.4655
172,m3,21.3788
172,ca,49.3572
175,c1,89.258
175,c2,92.79
175,c3,94.5254
175,c4,95.5878
175,c5,96.4252
175,m1,108.6321
175,m2,45.3891
